The Shawshank Redemption (1994)
The Godfather (1972)
The Godfather: Part II (1974)
Pulp Fiction (1994)
The Good the Bad and the Ugly (1966)
The Dark Knight (2008)
12 Angry Men (1957)
Schindler's List (1993)
The Lord of the Rings: The Return of the King (2003)
Fight Club (1999)
Star Wars: Episode V - The Empire Strikes Back (1980)
The Lord of the Rings: The Fellowship of the Ring (2001)
One Flew Over the Cuckoo's Nest (1975)
Goodfellas (1990)
Seven Samurai (1954)
Inception (2010)
Star Wars (1977)
Forrest Gump (1994)
The Matrix (1999)
The Lord of the Rings: The Two Towers (2002)
City of God (2002)
The Silence of the Lambs (1991)
Se7en (1995)
Once Upon a Time in the West (1968)
Casablanca (1942)
The Usual Suspects (1995)
Raiders of the Lost Ark (1981)
Rear Window (1954)
It's a Wonderful Life (1946)
Psycho (1960)
Léon: The Professional (1994)
Sunset Blvd. (1950)
American History X (1998)
Apocalypse Now (1979)
Terminator 2: Judgment Day (1991)
Memento (2000)
Saving Private Ryan (1998)
City Lights (1931)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Alien (1979)
Modern Times (1936)
Spirited Away (2001)
Gravity (2013)
North by Northwest (1959)
Back to the Future (1985)
Citizen Kane (1941)
The Pianist (2002)
M (1931)
Life Is Beautiful (1997)
The Shining (1980)
The Departed (2006)
Paths of Glory (1957)
Vertigo (1958)
American Beauty (1999)
Django Unchained (2012)
Double Indemnity (1944)
Taxi Driver (1976)
The Dark Knight Rises (2012)
Aliens (1986)
The Green Mile (1999)
The Intouchables (2011)
Gladiator (2000)
WALL·E (2008)
The Lives of Others (2006)
Toy Story 3 (2010)
The Great Dictator (1940)
A Clockwork Orange (1971)
The Prestige (2006)
Amélie (2001)
Lawrence of Arabia (1962)
To Kill a Mockingbird (1962)
Reservoir Dogs (1992)
Das Boot (1981)
Cinema Paradiso (1988)
The Lion King (1994)
The Treasure of the Sierra Madre (1948)
The Third Man (1949)
Once Upon a Time in America (1984)
Requiem for a Dream (2000)
Star Wars: Episode VI - Return of the Jedi (1983)
Eternal Sunshine of the Spotless Mind (2004)
Full Metal Jacket (1987)
Braveheart (1995)
L.A. Confidential (1997)
Oldboy (2003)
Singin' in the Rain (1952)
Metropolis (1927)
Chinatown (1974)
Rashomon (1950)
Some Like It Hot (1959)
Bicycle Thieves (1948)
All About Eve (1950)
Monty Python and the Holy Grail (1975)
Princess Mononoke (1997)
Amadeus (1984)
2001: A Space Odyssey (1968)
Witness for the Prosecution (1957)
The Apartment (1960)
The Sting (1973)
Unforgiven (1992)
Grave of the Fireflies (1988)
Indiana Jones and the Last Crusade (1989)
Raging Bull (1980)
The Bridge on the River Kwai (1957)
Die Hard (1988)
Yojimbo (1961)
Batman Begins (2005)
A Separation (2011)
Inglourious Basterds (2009)
